,full_text,startYear,averageRating,numVotes,writers,directors,actors
0, Comedy Musical Romance Samuel Goldwyn Productions matador (bullfighter) pre-code,1932,6.4,643, WilliamAnthonyMcGuire BertKalmar HarryRuby, LeoMcCarey, EddieCantor LydaRoberti RobertYoung RuthHall JohnMiljan NoahBeery J.CarrolNaish RobertEmmettO'Connor StanleyFields PaulPorcasi
1, Comedy Drama Romance Paramount ex-lover alcoholism playwright mistress heiress gossip columnist pre-code open marriage woman director stage actress adulterous affair unconventional arrangement alcoholic husband adulterous husband modern woman,1932,6.9,2260, EdwinJustusMayer CleoLucas, DorothyArzner, SylviaSidney FredricMarch AdrianneAllen Richard'Skeets'Gallagher GeorgeIrving EstherHoward FlorenceBritton CharlesColeman CaryGrant KentTaylor
2, Comedy Family Romance The Harold Lloyd Corporation hollywood screen test,1932,7.1,1807, VincentLawrence AgnesChristineJohnston JohnGrey FelixAdler ErnieBushmiller HaroldLloyd, ClydeBruckman HaroldLloyd, HaroldLloyd ConstanceCummings KennethThomson LouiseClosserHale SpencerCharters RobertMcWade EddieFetherston SydneyJarvis HaroldGoodwin MaryDoran
3," Comedy Drama Metro-Goldwyn-Mayer mother-in-law great depression securities, stocks and bonds  family bank run",1932,6.3,364, SylviaThalberg FrankButler ZeldaSears EveGreene FrancesGoodrich LeoMcCarey RalphSpence, SamWood, MarieDressler PollyMoran AnitaPage NormanFoster JohnMiljan JackieLynDufton JerryTucker CharlesGiblyn FrankDarien HenryArmetta
4, Comedy Drama Romance Metro-Goldwyn-Mayer infidelity prostitute love triangle tiger monsoon plantation based on play or musical indochina gunshot wound jungle gunshot pre-code riverboat dust storm malaria gun shooting french colonialism tropics romantic triangle rainy setting rubber plantation alpha male,1932,7.2,5215, JohnLeeMahin WilsonCollison DonaldOgdenStewart, VictorFleming, ClarkGable JeanHarlow GeneRaymond MaryAstor DonaldCrisp TullyMarshall ForresterHarvey WillieFung
5," Comedy Crime Romance Paramount jealousy robbery venice, italy widow approach based on play or musical secretary black and white extramarital affair pre-code emotions",1932,7.9,17166, SamsonRaphaelson GroverJones AladárLászló, ErnstLubitsch, MiriamHopkins KayFrancis HerbertMarshall CharlesRuggles EdwardEverettHorton C.AubreySmith RobertGreig LuisAlberni HooperAtchley TylerBrooke
6, Comedy Musical Romance Paramount baby,1933,6.5,150, RoyHorniman BenjaminGlazer NunnallyJohnson WaldemarYoung, NormanTaurog, MauriceChevalier HelenTwelvetrees EdwardEverettHorton AdrienneAmes BabyLeRoy EarleFoxe LeahRay BettyLorraine GertrudeMichael ErnestWood
7," Comedy Musical Romance Metro-Goldwyn-Mayer dancing marriage proposal dancer based on novel or book striptease musical tap dancing great depression stage show theater director revue beautiful woman jail singing black and white choreographer pre-code merry go round burlesque manhattan, new york city police raid rehearsal space broadway show uptown rich man night court determination dance practice financial backer manipulated woman dancing girls dance rehearsal",1933,6.8,2842, AllenRivkin P.J.Wolfson JamesWarnerBellah JoanCrawford RobertBenchley ZeldaSears, RobertZ.Leonard, JoanCrawford ClarkGable FranchotTone MayRobson WinnieLightner FredAstaire RobertBenchley TedHealy ArthurJarrett GrantMitchell
8, Comedy Musical Romance RKO Radio Pictures dancing airplane love triangle rio de janeiro fiancé pilot orchestra musical tap dancing beautiful woman singing black and white band singer showgirl pre-code biplane bandleader aerial stunts dance band forced landing romantic triangle dancing girls,1933,6.6,4280, CyrilHume H.W.Hanemann ErwinGelsey AnneCaldwell LouBrock AdeleComandini JosephFields ThomasLennon FredNibloJr. GilbertoSouto HarveyF.Thew H.Reynolds, ThorntonFreeland, DoloresDelRío GeneRaymond RaulRoulien GingerRogers FredAstaire BlancheFriderici WalterWalker EttaMoten RoyD'Arcy MauriceBlack
9," Comedy Drama Musical Warner Bros. Pictures philadelphia, pennsylvania musical stage show director dog broadway pre-code fainting chorus girl eviction financial crisis",1933,7.3,13657, RianJames JamesSeymour BradfordRopes WhitneyBolton, LloydBacon, WarnerBaxter BebeDaniels GeorgeBrent RubyKeeler GuyKibbee UnaMerkel GingerRogers NedSparks DickPowell AllenJenkins
10, Comedy Drama Musical Warner Bros. Pictures mistaken identity musical great depression songwriter pre-code hard times chorus girl broadway musical hidden identity show girls,1933,7.7,9740, ErwinGelsey JamesSeymour DavidBoehm BenMarkson AveryHopwood, MervynLeRoy, WarrenWilliam JoanBlondell AlineMacMahon RubyKeeler DickPowell GuyKibbee NedSparks GingerRogers RobertAgnew LorettaAndrews
11, Comedy Drama Romance Rio-Film GmbH,1933,6.5,73, ErnstNeubach, RichardOswald, JosephSchmidt ViktordeKowa CharlotteAnder FritzKampers CarlAuen CarldeVogt ErichBartels KarlMorvilius ErnstPistulla PhillipCervantes
12, Comedy Crime Music Metro-Goldwyn-Mayer pre-code prizefight boxing,1933,6.3,1142, JohnLeeMahin JohnMeehan FrancesMarion, W.S.VanDyke HowardHawks, MyrnaLoy MaxBaer PrimoCarnera JackDempsey WalterHuston OttoKruger VinceBarnett RobertMcWade MurielEvans JeanHoward
13, Comedy Fantasy Musical Samuel Goldwyn Productions Howard Productions pre-code eddie cantor,1933,6.7,899, GeorgeS.Kaufman RobertE.Sherwood WilliamAnthonyMcGuire GeorgeOppenheimer ArthurSheekman NatPerrin, FrankTuttle, EddieCantor EddieCantor RuthEtting GloriaStuart EdwardArnold DavidManners VerreeTeasdale AlanMowbray JackRutherford WillardRobertson LeeKohlmar
14," Comedy Drama Romance London Films Productions london, england bride matchmaking wedding marquis",1932,6.1,344, LajosBiró GeorgeGrossmith ArthurWimperis HelenGardom RobertVansittart, AlexanderKorda, RolandYoung GeorgeGrossmith JohnLoder WendyBarrie JoanGardner MerleOberon LadyTree KateCutler MauriceEvans MortonSelten
15, Comedy Romance Metro-Goldwyn-Mayer widow writer pre-code publisher,1933,6.8,1249, JohnMeehan LeonGordon RachelCrothers, HarryBeaumont RobertZ.Leonard, AnnHarding RobertMontgomery MyrnaLoy AliceBrady FrankMorgan MartinBurton LuisAlberni SterlingHolloway DavidNewell
16," Comedy Musical Romance RKO Radio Pictures dancing london, england entertainer nightclub mistaken identity musical aunt brighton, england misunderstanding singing divorce song and dance",1934,7.3,9209, DwightTaylor KennethS.Webb SamuelHoffenstein GeorgeMarionJr. DorothyYost EdwardKaufman RobertBenchley H.W.Hanemann J.HartleyManners StanleyRauh, MarkSandrich, FredAstaire GingerRogers AliceBrady EdwardEverettHorton ErikRhodes EricBlore LillianMiles CharlesColeman WilliamAustin BettyGrable
17, Comedy Drama Romance Warner Bros. Pictures u.s. navy,1934,6.2,1308, EarlBaldwin BenMarkson AlfredA.Cohn JoeTraub, LloydBacon, JamesCagney PatO'Brien GloriaStuart FrankMcHugh DorothyTree RobertBarrat WillardRobertson Guinn'BigBoy'Williams HowardHickman MaudeEburne
18, Comedy Drama Romance Universal Pictures black and white housekeeper pancakes pre-code passing for white,1934,7.5,6100, FannieHurst WilliamHurlbut PrestonSturges FinleyPeterDunne WalterFerris BiancaGilchrist VictorHeerman SarahY.Mason SamuelOrnitz ArthurRichman, JohnM.Stahl, ClaudetteColbert WarrenWilliam RochelleHudson NedSparks LouiseBeavers FrediWashington JuanitaQuigley AlanHale HenryArmetta WyndhamStanding
19," Comedy Romance Columbia Pictures newspaper miami, florida marriage reporter black and white screwball comedy socialite pre-code based on short story screwball hitchhiking road movie rich girl frantic brat trains lighthearted witty romantic",1934,8.1,118345, RobertRiskin SamuelHopkinsAdams, FrankCapra, ClarkGable ClaudetteColbert WalterConnolly RoscoeKarns JamesonThomas AlanHale ArthurHoyt BlancheFriderici CharlesC.Wilson ErnieAdams
20," Comedy Romance Tobis Filmkunst Sascha-Verleih ball vienna, austria",1934,7.6,437, WilliForst WalterReisch, WilliForst, PaulaWessely AntonWalbrook OlgaTschechowa HansMoser WalterJanssen PeterPetersen HildevonStolz JuliaSerda FritzImhoff
21, Comedy Crime Mystery Metro-Goldwyn-Mayer diamond cop-killer scotland yard serial killer jewel thief pre-code gentleman thief london bobby revenge murderer police superintendent revenge slasher partners in crimes,1934,6.9,644, PhilipMacDonald HowardEmmettRogers MoncktonHoffe JamesKevinMcGuinness, EdgarSelwyn RichardBoleslawski, RobertMontgomery ElizabethAllan LewisStone RalphForbes HenryStephenson ForresterHarvey IvanF.Simpson LeonardMudie AlecB.Francis CharlesIrwin
22, Comedy Drama Romance RKO Radio Pictures small town inventor gambling debt business idea business start-up young love dinner party socially awkward awkward situation nagging wife dinner guest social climber poor pretending to be rich ambitious wife,1935,6.9,4838, BoothTarkington DorothyYost MortimerOffner JaneMurfin, GeorgeStevens, KatharineHepburn FredMacMurray FredStone EvelynVenable FrankAlbertson AnnShoemaker CharleyGrapewin GradySutton HeddaHopper JonathanHale
23, Comedy Fantasy Musical UFA,1935,6.8,199, Molière TitusMacciusPlautus ReinholdSchünzel HeinrichvonKleist, ReinholdSchünzel, WillyFritsch WillyFritsch PaulKemp PaulKemp KätheGold FitaBenkhoff AdeleSandrock HildeHildebrand VilmaBekendorf AnnieAnn HildeBoenisch EwaldWenck
24, Comedy Romance Paramount magazine socialite,1935,6.1,293, ClaudeBinyon ElisabethSanxayHolding, WesleyRuggles, ClaudetteColbert FredMacMurray RobertYoung WilliamCollierSr. DonaldMeek RichardCarle EdgarKennedy JohnnyArthur KateMacKenna JimmyConlin
25, Comedy Fantasy Horror London Films Productions florida scotland castle ghost brick,1935,6.7,2336, EricKeown RobertE.Sherwood GeoffreyKerr, RenéClair, RobertDonat RobertDonat JeanParker EugenePallette ElsaLanchester RalphBunker PatriciaHilliard EverleyGregg MortonSelten ChiliBouchier MarkDaly
26," Comedy Romance Universal Pictures budapest, hungary department store mistaken identity based on play or musical romance black and white orphan waiter good deed usherette integrity sudden wealth naive girl seducer joyful",1935,7.5,1762, JaneHinton FerencMolnár PrestonSturges, WilliamWyler, MargaretSullavan HerbertMarshall FrankMorgan ReginaldOwen EricBlore BeulahBondi AlanHale CesarRomero LuisAlberni JuneClayworth
