lineId,movieId,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,poster_path,production_companies_name,writers,directors,actors,key_words
0,tt0023088,The Kid from Spain,The Kid from Spain,1932,96,"['Comedy', 'Musical', 'Romance']",6.4,643,['États-Unis'],/sAsPpNlgmUPWZdRZ9XmvOOIhIrn.jpg,['Samuel Goldwyn Productions'],"['William Anthony McGuire', 'Bert Kalmar', 'Harry Ruby']",['Leo McCarey'],"['Eddie Cantor', 'Lyda Roberti', 'Robert Young', 'Ruth Hall', 'John Miljan', 'Noah Beery', 'J. Carrol Naish', ""Robert Emmett O'Connor"", 'Stanley Fields', 'Paul Porcasi']","['matador (bullfighter)', 'pre-code']"
1,tt0023213,Merrily We Go to Hell,Merrily We Go to Hell,1932,83,"['Comedy', 'Drama', 'Romance']",6.9,2260,['États-Unis'],/qMunDEK0fMaeaourJgx2pIffmPn.jpg,['Paramount'],"['Edwin Justus Mayer', 'Cleo Lucas']",['Dorothy Arzner'],"['Sylvia Sidney', 'Fredric March', 'Adrianne Allen', ""Richard 'Skeets' Gallagher"", 'George Irving', 'Esther Howard', 'Florence Britton', 'Charles Coleman', 'Cary Grant', 'Kent Taylor']","['ex-lover', 'alcoholism', 'playwright', 'mistress', 'heiress', 'gossip columnist', 'pre-code', 'open marriage', 'woman director', 'stage actress', 'adulterous affair', 'unconventional arrangement', 'alcoholic husband', 'adulterous husband', 'modern woman']"
2,tt0023241,Movie Crazy,Movie Crazy,1932,84,"['Comedy', 'Family', 'Romance']",7.1,1807,['États-Unis'],/9iqQodSzndRx2MAnJ3xe6N1fjsh.jpg,['The Harold Lloyd Corporation'],"['Vincent Lawrence', 'Agnes Christine Johnston', 'John Grey', 'Felix Adler', 'Ernie Bushmiller', 'Harold Lloyd']","['Clyde Bruckman', 'Harold Lloyd']","['Harold Lloyd', 'Constance Cummings', 'Kenneth Thomson', 'Louise Closser Hale', 'Spencer Charters', 'Robert McWade', 'Eddie Fetherston', 'Sydney Jarvis', 'Harold Goodwin', 'Mary Doran']","['hollywood', 'screen test']"
3,tt0023358,Prosperity,Prosperity,1932,87,"['Comedy', 'Drama']",6.3,364,['États-Unis'],/wx2GCFNsxIKmKCkL2pNtn1KSmVp.jpg,['Metro-Goldwyn-Mayer'],"['Sylvia Thalberg', 'Frank Butler', 'Zelda Sears', 'Eve Greene', 'Frances Goodrich', 'Leo McCarey', 'Ralph Spence']",['Sam Wood'],"['Marie Dressler', 'Polly Moran', 'Anita Page', 'Norman Foster', 'John Miljan', 'Jackie Lyn Dufton', 'Jerry Tucker', 'Charles Giblyn', 'Frank Darien', 'Henry Armetta']","['mother-in-law', 'great depression', 'securities, stocks and bonds ', 'family', 'bank run']"
4,tt0023382,Red Dust,Red Dust,1932,83,"['Comedy', 'Drama', 'Romance']",7.2,5215,['États-Unis'],/laHlMLtR1SyKoOhWmQG5aLHflJa.jpg,['Metro-Goldwyn-Mayer'],"['John Lee Mahin', 'Wilson Collison', 'Donald Ogden Stewart']",['Victor Fleming'],"['Clark Gable', 'Jean Harlow', 'Gene Raymond', 'Mary Astor', 'Donald Crisp', 'Tully Marshall', 'Forrester Harvey', 'Willie Fung']","['infidelity', 'prostitute', 'love triangle', 'tiger', 'monsoon', 'plantation', 'based on play or musical', 'indochina', 'gunshot wound', 'jungle', 'gunshot', 'pre-code', 'riverboat', 'dust storm', 'malaria', 'gun shooting', 'french colonialism', 'tropics', 'romantic triangle', 'rainy setting', 'rubber plantation', 'alpha male']"
5,tt0023622,Trouble in Paradise,Trouble in Paradise,1932,83,"['Comedy', 'Crime', 'Romance']",7.9,17166,['États-Unis'],/FBxuoLRD3Biyul14unT5m3PYNS.jpg,['Paramount'],"['Samson Raphaelson', 'Grover Jones', 'Aladár László']",['Ernst Lubitsch'],"['Miriam Hopkins', 'Kay Francis', 'Herbert Marshall', 'Charles Ruggles', 'Edward Everett Horton', 'C. Aubrey Smith', 'Robert Greig', 'Luis Alberni', 'Hooper Atchley', 'Tyler Brooke']","['jealousy', 'robbery', 'venice, italy', 'widow', 'approach', 'based on play or musical', 'secretary', 'black and white', 'extramarital affair', 'pre-code', 'emotions']"
6,tt0023787,A Bedtime Story,A Bedtime Story,1933,87,"['Comedy', 'Musical', 'Romance']",6.5,150,['États-Unis'],/ngzVKRSDKzN9AYWw6x0ots7eZxV.jpg,['Paramount'],"['Roy Horniman', 'Benjamin Glazer', 'Nunnally Johnson', 'Waldemar Young']",['Norman Taurog'],"['Maurice Chevalier', 'Helen Twelvetrees', 'Edward Everett Horton', 'Adrienne Ames', 'Baby LeRoy', 'Earle Foxe', 'Leah Ray', 'Betty Lorraine', 'Gertrude Michael', 'Ernest Wood']",['baby']
7,tt0023926,Dancing Lady,Dancing Lady,1933,92,"['Comedy', 'Musical', 'Romance']",6.8,2842,['États-Unis'],/bJc8DTD34kbpccaMDROojHXJ0RS.jpg,['Metro-Goldwyn-Mayer'],"['Allen Rivkin', 'P.J. Wolfson', 'James Warner Bellah', 'Joan Crawford', 'Robert Benchley', 'Zelda Sears']",['Robert Z. Leonard'],"['Joan Crawford', 'Clark Gable', 'Franchot Tone', 'May Robson', 'Winnie Lightner', 'Fred Astaire', 'Robert Benchley', 'Ted Healy', 'Arthur Jarrett', 'Grant Mitchell']","['dancing', 'marriage proposal', 'dancer', 'based on novel or book', 'striptease', 'musical', 'tap dancing', 'great depression', 'stage show', 'theater director', 'revue', 'beautiful woman', 'jail', 'singing', 'black and white', 'choreographer', 'pre-code', 'merry go round', 'burlesque', 'manhattan, new york city', 'police raid', 'rehearsal space', 'broadway show', 'uptown', 'rich man', 'night court', 'determination', 'dance practice', 'financial backer', 'manipulated woman', 'dancing girls', 'dance rehearsal']"
8,tt0024025,Flying Down to Rio,Flying Down to Rio,1933,89,"['Comedy', 'Musical', 'Romance']",6.6,4280,['États-Unis'],/zKBXy84eN6tgwXaYsiFSCgq0GBc.jpg,['RKO Radio Pictures'],"['Cyril Hume', 'H.W. Hanemann', 'Erwin Gelsey', 'Anne Caldwell', 'Lou Brock', 'Adele Comandini', 'Joseph Fields', 'Thomas Lennon', 'Fred Niblo Jr.', 'Gilberto Souto', 'Harvey F. Thew', 'H. Reynolds']",['Thornton Freeland'],"['Dolores Del Río', 'Gene Raymond', 'Raul Roulien', 'Ginger Rogers', 'Fred Astaire', 'Blanche Friderici', 'Walter Walker', 'Etta Moten', ""Roy D'Arcy"", 'Maurice Black']","['dancing', 'airplane', 'love triangle', 'rio de janeiro', 'fiancé', 'pilot', 'orchestra', 'musical', 'tap dancing', 'beautiful woman', 'singing', 'black and white', 'band singer', 'showgirl', 'pre-code', 'biplane', 'bandleader', 'aerial stunts', 'dance band', 'forced landing', 'romantic triangle', 'dancing girls']"
9,tt0024034,42nd Street,42nd Street,1933,89,"['Comedy', 'Drama', 'Musical']",7.3,13657,['États-Unis'],/bcXT1q4JKqAlCjUadLx0pNGoyJR.jpg,['Warner Bros. Pictures'],"['Rian James', 'James Seymour', 'Bradford Ropes', 'Whitney Bolton']",['Lloyd Bacon'],"['Warner Baxter', 'Bebe Daniels', 'George Brent', 'Ruby Keeler', 'Guy Kibbee', 'Una Merkel', 'Ginger Rogers', 'Ned Sparks', 'Dick Powell', 'Allen Jenkins']","['philadelphia, pennsylvania', 'musical', 'stage show', 'director', 'dog', 'broadway', 'pre-code', 'fainting', 'chorus girl', 'eviction', 'financial crisis']"
